# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	1282
1	0	1306
2	0	1367
3	0	1437
4	0	1506
5	0	1575
6	0	1620
7	0	1664
8	0	1732
9	0	1795
10	0	1873
11	0	1948
12	0	2018
13	0	2118
14	0	2167
15	0	2210
16	0	2275
17	0	2345
18	0	2400
19	0	2415
20	0	2386
21	0	2391
22	0	2346
23	0	2281
24	0	2241
25	0	2210
26	0	2152
27	0	2068
28	0	2011
29	0	1960
30	0	1954
31	0	1918
32	0	1878
33	0	1870
34	0	1836
35	0	1813
36	0	1811
37	0	1783
38	0	1751
39	0	1744
40	0	1720
41	0	1699
42	0	1675
43	0	1652
44	0	1633
45	0	1606
46	0	1596
47	0	1578
48	0	1581
49	0	1566
50	0	1544
51	0	1520
52	0	1514
53	0	1485
54	0	1484
55	0	1477
56	0	1459
57	0	1453
58	0	1431
59	0	1440
60	0	1445
61	0	1406
62	0	1384
63	0	1380
64	0	1384
65	0	1375
66	0	1354
67	0	1352
68	0	1354
69	0	1353
70	0	1344
71	0	1344
72	3	1315
73	3	1302
74	5	1297
75	7	1281
76	9	1275
77	11	1282
78	16	1280
79	16	1261
80	24	1272
81	31	1263
82	41	1245
83	53	1245
84	69	1228
85	90	1223
86	128	1207
87	164	1207
88	201	1194
89	266	1191
90	327	1183
91	352	1162
92	425	1177
93	472	1185
94	539	1175
95	569	1166
96	579	1139
97	608	1127
98	598	1124
99	611	1131
100	616	1132
101	641	1131
102	637	1134
103	648	1128
104	635	1123
105	644	1109
106	624	1103
107	599	1116
108	577	1107
109	550	1105
110	514	1081
111	483	1083
112	454	1072
113	425	1064
114	362	1062
115	315	1059
116	273	1067
117	233	1047
118	193	1029
119	164	1001
120	148	1003
121	139	1004
122	132	983
123	126	952
124	122	960
125	109	938
126	84	939
127	76	930
128	64	926
129	57	912
130	51	902
131	41	900
132	45	892
133	42	862
134	33	855
135	35	856
136	38	842
137	36	851
138	31	844
139	26	839
140	23	831
141	20	827
142	14	817
143	14	810
144	12	795
145	10	801
146	8	787
147	9	779
148	9	769
149	8	758
150	8	750
151	7	750
152	6	747
153	4	741
154	5	742
155	3	745
156	2	763
157	2	748
158	2	739
159	0	742
160	0	729
161	0	722
162	0	733
163	0	730
164	0	727
165	0	745
166	0	717
167	0	710
168	0	720
169	0	719
170	0	693
171	0	695
172	0	685
173	0	683
174	0	689
175	0	703
176	0	696
177	0	694
178	0	688
179	0	685
180	0	693
181	0	696
182	0	691
183	0	699
184	0	692
185	0	699
186	0	710
187	0	704
188	0	721
189	0	705
190	0	703
191	0	703
192	0	709
193	0	706
194	0	709
195	0	695
196	0	713
197	0	717
198	0	707
199	0	693
200	0	707
201	0	686
202	0	675
203	0	680
204	0	696
205	0	712
206	0	727
207	0	727
208	0	736
209	0	720
210	0	722
211	0	720
212	0	716
213	0	703
214	0	707
215	0	704
216	0	695
217	0	677
218	0	671
219	0	669
220	0	671
221	0	670
222	0	673
223	0	687
224	0	680
225	0	677
226	0	682
227	0	655
228	0	645
229	0	647
230	0	638
231	0	631
232	0	625
233	0	628
234	0	619
235	0	631
236	0	611
237	0	614
238	0	626
239	0	624
240	0	601
241	0	595
242	0	599
243	0	616
244	0	618
245	0	607
246	0	612
247	0	632
248	0	639
249	0	645
250	0	636
251	0	638
252	0	655
253	0	655
254	0	667
255	0	685
256	0	683
257	0	673
258	0	681
259	0	684
260	0	686
261	0	694
262	0	694
263	0	715
264	0	699
265	0	705
266	0	721
267	0	743
268	0	728
269	0	732
270	0	724
271	0	733
272	0	717
273	0	709
274	0	711
275	0	693
276	0	688
277	0	689
278	0	683
279	0	688
280	0	674
281	0	664
282	0	657
283	0	660
284	0	656
285	0	650
286	0	645
287	0	648
288	0	648
289	0	668
290	0	676
291	0	667
292	0	673
293	0	662
294	0	649
295	0	642
296	0	659
297	0	648
298	0	644
299	0	644
300	0	638
301	0	629
302	0	624
303	0	631
304	0	632
305	0	637
306	0	643
307	0	643
308	0	654
309	0	661
310	0	657
311	0	659
312	0	645
313	0	649
314	0	649
315	0	649
316	0	643
317	0	645
318	0	629
319	0	623
320	0	627
321	0	631
322	0	626
323	0	624
324	0	632
325	0	635
326	0	624
327	0	626
328	0	631
329	0	661
330	0	662
331	0	662
332	0	656
333	0	653
334	0	648
335	0	641
336	0	646
337	0	639
338	0	644
339	0	639
340	0	633
341	0	645
342	0	640
343	0	639
344	0	655
345	0	653
346	0	667
347	0	659
348	0	660
349	0	666
350	0	660
351	0	665
352	0	651
353	0	658
354	0	645
355	0	649
356	0	640
357	0	639
358	0	638
359	0	623
360	0	616
361	0	610
362	0	613
363	0	599
364	0	592
365	0	586
366	0	567
367	0	573
368	0	562
369	0	548
370	0	540
371	0	542
372	0	530
373	0	529
374	0	519
375	0	534
376	0	512
377	0	510
378	0	506
379	0	507
380	0	510
381	0	505
382	0	502
383	0	485
384	0	485
385	0	480
386	0	485
387	0	491
388	0	493
389	0	493
390	0	493
391	0	496
392	0	507
393	0	502
